YEAR,ANNUAL
1901,0.6132913205385275
1902,0.7831566886279004
1903,0.8076959801394061
1904,0.3295139883509978
1905,0.4803781151532513
1906,0.6418409242814858
1907,0.5419650529934117
1908,0.4268118017759955
1909,0.6078487539386996
1910,0.5974410388618352
1911,0.4744581304306312
1912,0.5596295235367135
1913,0.5354721665234412
1914,0.6066074668194403
1915,0.640217702663993
1916,0.5532321206913013
1917,0.6018332855915209
1918,0.5286928291797957
1919,0.6785066361119068
1920,0.7984340685572426
1921,0.6315286928291797
1922,0.7280626372577104
1923,0.4927909863458417
1924,0.5510359973264585
1925,0.6638976415544733
1926,0.4751265158025399
1927,0.4887806741143893
1928,0.6233171011171583
1929,0.6299054712116872
1930,0.914160221522009
1931,0.6892008020624463
1932,0.756039339253318
1933,0.661606034565072
1934,0.4981380693211114
1935,0.5498901938317577
1936,0.5982049078583023
1937,0.6703905280244438
1938,0.4441898214456221
1939,0.7044781819917885
1940,0.8216365893249309
1941,0.6577866895827365
1942,0.5053948247875488
1943,0.830039148286069
1944,0.8685190489830994
1945,0.4449536904420891
1946,0.9320156593144276
1947,0.5934307266303829
1948,0.5621120977752316
1949,0.4990929055666953
1950,0.4101021674782775
1951,0.5128425475031033
1952,0.3804067602406187
1953,0.6206435596295234
1954,0.6667621502912251
1955,0.7090613959705909
1956,0.6413635061586938
1957,0.524109615200993
1958,0.5103599732645852
1959,0.5502721283299914
1960,0.6644705433018236
1961,0.5659314427575672
1962,0.595435882746109
1963,0.7207103981667144
1964,0.5658359591330087
1965,0.5765301250835482
1966,0.810560488876158
1967,0.5548553423087941
1968,0.4501098061682421
1969,0.6147235749069033
1970,0.595913300868901
1971,0.6966485247780005
1972,0.7403800248257426
1973,0.5160889907380883
1974,0.3196791750214837
1975,0.5782488303255993
1976,0.516470925236322
1977,0.8860880359018428
1978,0.6500525159935071
1979,0.7499283872815814
1980,0.3734364556478564
1981,0.695025303160508
1982,0.344313950157548
1983,0.6585505585792037
1984,0.6739234221331041
1985,0.7118304210827844
1986,0.6063210159457653
1987,0.6163467965243961
1988,0.4957509787071517
1989,0.5141793182469208
1990,0.558770170915688
1991,0.6080397211878164
1992,0.5735701327222382
1993,0.7297813424997612
1994,0.5613482287787643
1995,0.5016709634297718
1996,0.7174639549317294
1997,0.6039339253318057
1998,0.7272987682612433
1999,0.5772939940800152
2000,0.624462904611859
2001,0.1579299150195741
2002,0.0
2003,0.0291225054903084
2004,0.6871001623221618
2005,1.0
2006,0.5823546261816099
2007,0.7153633151914447
2008,0.8454120118399695
2009,0.5829275279289603
2010,0.7420987300677935
2011,0.5810178554377925
2012,0.303733409720233
2013,0.4047550845030077
2014,0.5681275661224101
2015,0.84655781533467
2016,
2017,
2018,
2019,
2020,
